claim_id,stage,usage,unit_price
AH-2026-101,extraction,11200,0.00003
AH-2026-101,priority,3100,0.00003
AH-2026-101,other,2,0.01
AH-2026-102,extraction,10400,0.00003
AH-2026-102,priority,2800,0.00003
AH-2026-102,other,1,0.01
AH-2026-103,extraction,12000,0.00003
AH-2026-103,priority,3300,0.00003
AH-2026-103,other,2,0.01
AH-2026-104,extraction,42000,0.00003
AH-2026-104,priority,3200,0.00003
AH-2026-104,other,3,0.01
AH-2026-105,extraction,9800,0.00003
AH-2026-105,priority,2600,0.00003
AH-2026-105,other,1,0.01
AH-2026-106,extraction,11600,0.00003
AH-2026-106,priority,3000,0.00003
AH-2026-106,other,2,0.01
AH-2026-107,extraction,10900,0.00003
AH-2026-107,priority,2900,0.00003
AH-2026-107,other,1,0.01
AH-2026-108,extraction,11800,0.00003
AH-2026-108,priority,3400,0.00003
AH-2026-108,other,2,0.01
AH-2026-109,extraction,28000,0.00003
AH-2026-109,priority,3100,0.00003
AH-2026-109,other,2,0.01
AH-2026-110,extraction,10200,0.00003
AH-2026-110,priority,2700,0.00003
AH-2026-110,other,1,0.01
